document,,,,,,,,,
PMID/PM,Publisher,Journal tit,Article titl,COST (£) charged to Wellcome (inc VAT when charged),,,,,
PMCID:,Elsevier,The Lance,Effects of,£4800.00,,,,,
    PMC3627205,,,,,,,,,
NA,Elsevier,The Lance,MRI inves,£4320.00,,,,,
PMID: 230,Elsevier,The Lance,Genetic ri,£5760.00,,,,,
PMID : 23,Elsevier,The Vet. J,The role o,£2480.06,,,,,
PMC35289,Elsevier,Ticks and,Tick cell c,£2863.73,,,,,
PMC31832,Elsevier,Transactio,Investigat,£1524.08,,,,,
pub Aug 2,Elsevier,Trends in,Models of,£2340.63,,,,,
PMID: 219,Elsevier,Trends in,Epigeneti,£2368.11,,,,,
PMC36055,Elsevier,Trends in,Genomic,£2373.76,,,,,
PMC34913,Elsevier,Trends in,Evolution,£2291.33,,,,,
PMID:232,Elsevier,Trends in,Exploring,£2248.33,,,,,
PMC37941,Elsevier,Trends in,Blurring t,£2402.81,,,,,
print in pr,Elsevier,Trends in,Molecular,£2426.96,,,,,
NA,Elsevier,Trends in,Cytoplas,£999999.00,,,,,
NA,Elsevier,Trends in,Schistoso,£2004.74,,,,,
NA,Elsevier,Trends in,The Cindir,£2306.78,,,,,
NA,Elsevier,Trends in,Killing the,£2461.44,,,,,
NA,Elsevier,Trends in,Infection,£999999.00,,,,,
PMCID:,Elsevier,Tuberculo,Pathways,£1999.94,,,,,
    PMC3759846,,,,,,,,,
PMCID:,Elsevier,Tuberculo,A novel as,£2322.57,,,,,
    PMC3608034,,,,,,,,,
PMC37633,Elsevier,Vaccine,Human pa,£1433.34,,,,,
PMID: 240,Elsevier,Vaccine,Cattle im,£1448.38,,,,,
PMC37633,Elsevier,Vaccine,Protectio,£1477.73,,,,,
PMC34044,Elsevier,Vaccine,Tailoring s,£2328.84,,,,,
23117109,Elsevier,Vascular P,Signal tra,£2352.53,,,,,
PMC37571,Elsevier,Veterinar,Isolation,£2451.49,,,,,
PMC36115,Elsevier,Veterinar,Toxocara,£2488.17,,,,,
NA,Elsevier,Veterinar,Persisten,£999999.00,,,,,
PMCID: P,Elsevier,Virology,An essent,£1435.05,,,,,
23201205,Elsevier,Virus Res,Prostratin,£1947.09,,,,,
pub Aug 2,Elsevier,Vision Re,Sensitivit,£1456.18,,,,,
23200744  ,Elsevier,Vision Re,Perceptua,£999999.00,,,,,
3708126,Elsevier ,American,Sickle Cell,£1834.77,,,,,
PMC36858,Elsevier ,Cell Meta,Improved,£4084.51,,,,,
PMC34765,Elsevier ,FEBS Lett,Concerte,£2143.17,,,,,
PMID:200,Elsevier ,Journal of,Structural,£2459.32,,,,,
3507620,Elsevier ,Lancet ,Managing,£838.35,,,,,
3771416,Elsevier ,Lancet Inf,Efficacy of,£3600.00,,,,,
3724053,Elsevier ,Math Bios,Understa,£1834.77,,,,,
3778404,Elsevier ,Social Sci,Managing,£1834.77,,,,,
PMID:233,Elsevier (,Neuron,Fast silen,£3912.20,,,,,
PMC3568920,Elsevier (,Neuron,Spike-driv,£3918.42,,,,,
,,,,,,,,,
PMC37633,Elsevier /,STRUCTUR,Redox-lin,£3895.64,,,,,
23394834,Elsevier B,Curr Biol.,Calcium fl,£4151.77,,,,,
23772376,Elsevier B,FEBS Ope,Crystal str,£1171.02,,,,,
PMCID: P,Elsevier Lt,Vaccine,Increased,£1428.68,,,,,
23498957,Elsevier/C,Cell Host,Human cy,£4226.04,,,,,
3480985,Endocrine,Endocrino,Circadian,£2350.99,,,,,
3724961,Endocrine,Endocrino,Adaptive,£2352.94,,,,,
PMC3612801,Endocrine,Journal of,Variations,£1995.43,,,,,
,,,,,,,,,
,,,,,,,,,
3462937,Endocrine,Journal of,A Cross-S,£2224.52,,,,,
3752522,Endocrine,Journal of,Distinct re,£2355.52,,,,,
3507519,Endocrine,Molecular,Oxytocin-,£2380.73,,,,,
NA,European,European,The impac,£2340.00,,,,,
PMC3599069,European,European,Clinical an,£1440.00,,,,,
,,,,,,,,,
22919070,FASEB,FASEB Jou,Chemicall,£1513.14,,,,,
NA,FASEB,FASEB Jou,Dysfuncti,£1663.37,,,,,
23982145,FASEB,FASEB Jou,The CB1 r,£1920.98,,,,,
PMC38195,FASEB,FASEB Jou,Endotheli,£1953.12,,,,,
PMC36850,FASEB,Journal of,Autofluor,£1626.36,,,,,
NA,FASEB,The FASE,Asprin-tri,£824.16,,,,,
PMID: 231,Federatio,FASEB Jou,The immu,£1866.72,,,,,
PMC37677,Federatio,FASEB Jou,The cellul,£2014.37,,,,,
PMID: 233,Federatio,The FASE,Productio,£1652.90,,,,,
PMC35742,Federatio,The FASE,Flavones i,£1578.93,,,,,
PMC36065,Federatio,The FASE,11?-hydro,£1670.77,,,,,
PMCID:,Federatio,FASEB Jou,Epididym,£1857.82,,,,,
    PMC3513842,,,,,,,,,
PMC36599,Ferrata St,Haematol,Mutations,£1567.94,,,,,
PMID:224,Ferrata St,Haematol,Productio,£378.70,,,,,
PMC3689257,Frontiers,Frontiers i,The brain,£815.98,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3685810,Frontiers,Frontiers i,Flow parsi,£813.90,,,,,
3689323,Frontiers,Frontiers i,Heading r,£813.90,,,,,
PMC3677134,Frontiers,Frontiers i,Quantitati,£1087.97,,,,,
,,,,,,,,,
NA,Frontiers,Frontiers i,Wnts in ac,£725.76,,,,,
PMC36682,Frontiers,Frontiers i,LRRK2: an,£821.98,,,,,
PMC3644713,Frontiers,Frontiers i,Persisten,£999999.00,,,,,
,,,,,,,,,
NA,Frontiers,Frontiers i,Exploratio,£434.70,,,,,
PMC3747673,Frontiers,Frontiers i,The chron,£1392.61,,,,,
,,,,,,,,,
3759789,Frontiers,Frontiers i,Severity o,£840.19,,,,,
NA,Frontiers,Frontiers i,Bridging t,£827.13,,,,,
PMC35675,Frontiers,Frontiers i,The mela,£975.81,,,,,
PMC3735983,Frontiers,Frontiers i,The myst,£346.25,,,,,
,,,,,,,,,
23720616  ,Frontiers,Frontiers i,Graph net,£1000.87,,,,,
NA,Frontiers,Frontiers i,The anato,£582.12,,,,,
NA,Frontiers,Frontiers i,Self-assoc,£825.37,,,,,
PMC3747448,Frontiers,Frontiers i,Characteri,£827.13,,,,,
,,,,,,,,,
PMC35020,Frontiers,Frontiers i,CD161+CD,£775.82,,,,,
PMC34447,Frontiers,Frontiers i,NLRP3-inf,£687.79,,,,,
PMC35640,Frontiers,Frontiers i,Exposure,£967.18,,,,,
NA,Frontiers,Frontiers i,Improved,£1209.60,,,,,
PMC36763,Frontiers,Frontiers i,The comp,£821.98,,,,,
PMC36394,Frontiers,Frontiers i,A unified,£1644.25,,,,,
PMCID: P,Frontiers,Frontiers i,What is so,£937.34,,,,,
PMCID: P,Frontiers,Frontiers i,Attributio,£987.91,,,,,
PMC35211,Frontiers,Frontiers i,Measurin,£476.57,,,,,
PMC37157,Frontiers,Frontiers i,Adaptatio,£711.11,,,,,
23805144,Frontiers,Frontiers i,Increased,£1014.44,,,,,
PMC35404,Frontiers,Frontiers i,Ionotropi,£819.45,,,,,
PMC3487150,Frontiers,Frontiers i,What is va,£625.20,,,,,
,,,,,,,,,
23847615,Frontiers,Frontiers i,Re-directi,£1017.58,,,,,
PMC35904,Frontiers,Frontiers i,Dysregula,£837.74,,,,,
PMC37173,Future M,Future Ne,Advances,£2040.00,,,,,
NA,Future M,Future Vir,Disclosur,£1850.00,,,,,
PMCID:,Future M,Future Vir,Viral Hep,£2040.00,,,,,
    PMC3646239,,,,,,,,,
PMC 3492,Future M,Future Mi,Evolution,£1700.00,,,,,
PMID: 232,Future Sci,Future M,Small mol,£2040.00,,,,,
PMID: 240,Future Sci,Future M,Targeting,£2270.00,,,,,
PMID: 232,Hindawi,Internatio,Quantitati,£626.00,,,,,
PMC36130,Hindawi P,JOURNAL,Airway sm,£655.85,,,,,
23476740,Hindawi P,Journal of,"Mast Cell subsets & their functional modulation by the Acanthocheilonema vitae product, ES-62  J Parasitol Res. 2013;2013:961268. doi: 10.1155/2013/961268. Epub 2013 Feb 7.",£623.95,,,,,
PMC37771,Hindawi P,OXIDATIV,A novel Si,£1170.41,,,,,
PMID: 234,Humana P,Methods i,The Amoe,£2230.50,,,,,
PMC37177,Impact Jo,Oncotarg,Loss of ex,£1319.42,,,,,
PMID:231,Impact Jo,Oncotarg,Pyruvate,£1301.25,,,,,
23256604  ,Informa H,Molecular,Use of mo,£2907.42,,,,,
PMID: 238,Informa H,Expert Re,"Advocacy,",£1700.00,,,,,
23154792,Institute,Nanotech,Directed s,£2040.00,,,,,
23220929,Institute,Nanotech,Fabricatio,£2040.00,,,,,
PMC35356,Internatio,Journal of,Barriers a,£1430.84,,,,,
PMCID:,Internatio,Journal of,Childrens,£1663.29,,,,,
    PMC3564972,,,,,,,,,
NA,Internatio,IJTLD,Socio-eco,£2587.10,,,,,
NA,Internatio,Internatio,Prevalenc,£2440.41,,,,,
PMCID: P,Internatio,Acta Cryst,Intensity,£773.74,,,,,
    PMC3498934,Internatio,Acta Cryst,Nearest-c,£757.18,,,,,
PMID:229,Internatio,Acta Cryst,Crystalliza,£774.19,,,,,
PMC30876,Internatio,Acta D,Structure,£750.16,,,,,
PMC33745,Internatio,ACTA F,Crystalliza,£754.90,,,,,
PMC30839,Internatio,J Synchrot,Assessme,£746.90,,,,,
PMCID: P,Internatio,Journal of,Liesegang,£758.53,,,,,
PMCID:,Internatio,Acta Cryst,Clustering,£771.42,,,,,
    PMC3727331,,,,,,,,,
PMCID: P,Internatio,Acta Cryst,Structure,£785.60,,,,,
PMCID: P,Internatio,Acta Cryst,Structure,£807.67,,,,,
NA,IOP Publis,Physics in Biology and Medicine,Visualizat,£340.00,,,,,
NA,IOS Press,Journal of,The Prese,£780.25,,,,,
PMCID:P,Ivyspring I,Theranost,Exogenou,£543.29,,,,,
PMC3510731,J Med Int,J Med Int,How shou,£1303.21,,,,,
PMC34707,John Wile,American,A Novel N,£2307.01,,,,,
PMC36383,John Wile,Cellular M,Characteri,£2400.85,,,,,
PMC36745,John Wile,Genetic E,A simple,£2372.99,,,,,
PMC36192,John Wile,The Journ,Whole-ge,£2248.94,,,,,
22897233,JOHN WIL,Cellular M,In silico di,£2270.50,,,,,
23126643,JOHN WIL,Cellular M,Hepatom,£2284.62,,,,,
PMCID: P,John Wile,European,CD6 atten,£2256.65,,,,,
PMC34602,John Wile,Genetic E,Transethn,£2345.75,,,,,
PMCID: P,John Wile,Journal of,Clinical Pr,£2321.38,,,,,
PMCID: P,John Wile,Journal of,A Compar,£2321.38,,,,,
PMC35881,John Wile,Journal of,Use of mu,£2276.53,,,,,
PMID: 225,John Wile,Journal of,Plasticity,£999999.00,,,,,
PMCID: P,John Wile,Clinical an,Effects of,£2329.11,,,,,
PMC33770,John Wile,EMBO Mo,Links bet,£2252.44,,,,,
23877967,John Wile,Biopolym,ATP-Drive,£1981.72,,,,,
22925518,John Wile,Develop,Nine-mon,£2351.81,,,,,
41609,John Wile,Journal of,High level,£612.59,,,,,
23710762,John Wile,Molecular,Structure,£2457.80,,,,,
Pending ,John Wile,Populatio,Gendered,£1836.92,,,,,
22901061,John Wile,Traffic,Chlamydi,£1982.81,,,,,
PMC37171,John Wile,Tropical,Nutrition,£1530.77,,,,,
PMC37752,John Wile,Tropical,Disengag,£1836.92,,,,,
NA,John Wile,The Journ,Distinct ro,£1870.74,,,,,
PMC34278,John Wile,Heptology,Transcript,£1852.01,,,,,
PMCID:,John Wile,EMBO Mo,Defining c,£2868.08,,,,,
    PMC3531601,,,,,,,,,
PMC34778,Johns Hop,Bulletin o,"Beasts, M",£1880.66,,,,,
PMID2321,Journal of,National,Morphing,£1052.99,,,,,
NA,Journal of,Journal of,Use of Gal,£3238.25,,,,,
NA,JoVE,Journal of,Mouse hi,£2693.21,,,,,
NA,JSciMed C,Journal of,Parkinson,£159.91,,,,,
23434854,KARGER,Nephron,Nephroca,£2110.15,,,,,
not yet pu,Karger,Neurodeg,A hypnic,£2061.82,,,,,
PMID: 230,Karger,Neuroepi,Patent for,£2075.98,,,,,
PMID: 232,Karger,Neuropsy,ZNF804A,£2533.25,,,,,
NA,Karger,Respiratio,Mesenchy,£2134.67,,,,,
22302008,Landes Bi,Autophag,A cyto-protective mechanism which prevents,£601.10,,,,,
,,,primary human hepatocyte apoptosis during oxidative stress,,,,,,
PMC3547901,Landes Bi,Cell Adhe,Emerging,£321.46,,,,,
,,,,,,,,,
PMID: 239,Landes Bi,Cell Cycle,Protein p,£644.28,,,,,
PMC37357,Landes Bi,Cell Cycle,The deubi,£666.00,,,,,
PMID:239,Landes Bi,Cell Cycle,NF-kB reg,£783.73,,,,,
23518502,Landes Bi,Cell Cycle,Mcm8 and,£812.96,,,,,
PMC 3536,Landes Bi,Channels,State-ind,£159.74,,,,,
PMC34694,Landes Bi,Epigeneti,Human-sp,£487.90,,,,,
NA,Landes Bi,Epigeneti,Integrate,£493.07,,,,,
PMC37412,Landes Bi,Epigentics,On your h,£409.78,,,,,
PMC35929,Landes Bi,Epigentics,SETD6 mo,£607.54,,,,,
PMID:236,Landes Bi,RNA Biolo,Human pe,£402.42,,,,,
PMCID: P,Landes Bi,RNA biolo,The functi,£494.96,,,,,
23422316,Landes Bi,RNA Biolo,A two-sta,£572.99,,,,,
PMCID: P,Landes Bi,Cell Cycle,ATM-dep,£762.88,,,,,
PMCID: P,Landes Bi,Cell Cycle,Dma/RNF,£804.61,,,,,
NA,LWW,Neurolog,The patte,£2504.36,,,,,
NA,MacMillan,NA,Fungal Dis,£13200.00,,,,,
PMC35268,Mary Ann,Antioxida,Oxidation,£1347.79,,,,,
PMID:237,Mary Ann,Antioxida,Ybp1 and,£1681.94,,,,,
PMCID:,Mary Ann,Tissue En,Effects of,£1741.32,,,,,
    PMC3761558,,,,,,,,,
23758132,MARY AN,Antioxida,Does oxid,£2528.64,,,,,
PMCID:P,Mary Ann,Stem Cell,Mesoangi,£1371.54,,,,,
PMID:241,MDPI,Internatio,Absolute,£1384.34,,,,,
PMC37177,MDPI,JERPH,Tobacco u,£952.45,,,,,
PMCID:,MDPI,Sensors,Wearable,£1290.41,,,,,
    PMC3571806,,,,,,,,,
PMC30774,MIT Press,Journal of,Executive,£808.85,,,,,
PMC37851,MIT PRESS,The Journ,Perceptua,£999999.00,,,,,
23567253 :,MY JOVE,Journal of,An Injury,£517.50,,,,,
NA,MY JOVE,Journal of,A flow ad,£3284.88,,,,,
NA,My JOVE c,Journal of,FILM - to,£2713.14,,,,,
PMC3640431,MYJoVE C,Journal of,Chicken E,£2671.48,,,,,
,,,,,,,,,
Not yet p,MYJoVE C,Journal of,A decellul,£2711.19,,,,,
PMCID: P,National,PNAS,Membran,£667.74,,,,,
PMCID: P,National,PNAS (Pro,Activation,£853.64,,,,,
 PMCID: P,National,Proceddin,Evidence,£619.83,,,,,
PMCID:,National,Proceedin,Systemati,£395.60,,,,,
    PMC3670340,,,,,,,,,
PMCID:,National,Proceedin,Structural,£605.17,,,,,
    PMC3479458,,,,,,,,,
PMCID:,National,Proceedin,Interactio,£614.95,,,,,
    PMC3529010,,,,,,,,,
PMC34795,National,Proceedin,Selectivel,£617.79,,,,,
PMC35382,National,Proceedin,Repair of,£662.09,,,,,
PMC35570,National,Proceedin,Sexual re,£664.89,,,,,
3666720,National,Proceedin,Presynapt,£765.36,,,,,
PMCID:,National,Proceedin,Neonatal,£770.75,,,,,
    PMC3619373,,,,,,,,,
PMCID: P,National,Proceedin,Tapasin-r,£792.00,,,,,
3752214,National,Proceedin,Progressi,£793.02,,,,,
PMCID: P,National,Proceedin,BslA is a s,£888.18,,,,,
PMC30098,National,Proceedin,Exquisite,£601.70,,,,,
PMC36070,National,Proceedin,Astrocyte,£2691.68,,,,,
23213245,National,Proceedin,Increased,£751.84,,,,,
PMCID:,National,Proceedin,Specific D,£567.65,,,,,
    PMC3581936,,,,,,,,,
PMID:233,National,Proceedin,STAT2 def,£890.00,,,,,
PMCID: P,National,PNAS,Reversibl,£1069.80,,,,,
PMCID: P,National,PNAS,Efficient -,£725.40,,,,,
PMCID: P,National,Proceedin,Predictio,£732.25,,,,,
PMID: 233,National,Proceedin,Structure,£759.30,,,,,
PMID: 236,National,Proceedin,"CaBP1, a n",£786.98,,,,,
NA,Nature,Biosocieti,"""Creating",£1800.00,,,,,
3493860,Nature,British Jo,The FOXM,£2040.00,,,,,
PMC38173,Nature,British Jo,The poten,£2040.00,,,,,
3674354,Nature,Cell Deat,Amyloid-,£2040.00,,,,,
3730438,Nature,Cell Deat,Differenti,£2040.00,,,,,
3618382,Nature,Cell Deat,Taurine tr,£2520.00,,,,,
PMC3619234,Nature,Cell Deat,IF1 limits,£3000.00,,,,,
,,,,,,,,,
,,,,,,,,,
PMC3563982,Nature,Cell Deat,Dopamin,£2400.00,,,,,
,,,,,,,,,
PMC35842,Nature,Frontiers,Visual sur,£808.85,,,,,
Print not,Nature,Gene The,Inhibition,£3000.00,,,,,
PMID: 237,Nature,Genetics i,Populatio,£999999.00,,,,,
3790930,Nature,Journal of,The effect,£1920.00,,,,,
PMC3597375,Nature,Journal of,Is myelin,£2040.00,,,,,
PMC3678977,Nature,Journal of,Multiple,£2520.00,,,,,
PMC35749,Nature,Mucosal I,CTLA-4 pr,£2940.00,,,,,
PMC37094,Nature,Nature Co,Primary S,£1890.00,,,,,
PMC3644070,Nature,Nature Co,A role for,£2562.00,,,,,
,,,,,,,,,
PMC3562455,Nature,Nature Co,Signaling,£3642.00,,,,,
,,,,,,,,,
PMC3731653,Nature,Nature Co,Variabilit,£3780.00,,,,,
,,,,,,,,,
Pub July 2,Nature,Nature Co,Meta-anal,£3780.00,,,,,
PMC37094,Nature,Nature Co,Picornavir,£999999.00,,,,,
PMC3535331,Nature,Nature co,Factors de,£910.80,,,,,
PMC34808,Nature,Scientific,Estimatin,£1068.00,,,,,
PMC3605607,Nature,Scientific,Homogen,£1068.00,,,,,
,,,,,,,,,
PMC33882,Nature ,Cell Deat,HtrA2 defi,£2400.00,,,,,
23999103,Nature PG,EMBO Re,Chemerin,£3120.00,,,,,
PMC34767,Nature Pu,European,CNVs lead,£2400.00,,,,,
PMC35058,Nature Pu,Leukemia,Quantific,£3000.00,,,,,
24108241,Nature Pu,Nature Co,AMA1 of,£3498.00,,,,,
PMC33784,Nature Pu,Nature N,Mechanis,£1272.86,,,,,
23328632,Nature Pu,Cell Deat,SCAR/WA,£3000.00,,,,,
23511972,Nature Pu,EMBO,Structure,£3120.00,,,,,
3671254,Nature Pu,EMBO Jou,SENP3-m,£3120.00,,,,,
 PMC3791,Nature Pu,EMBO Jou,Identifica,£3120.00,,,,,
PMC36426,Nature Pu,EMBO Jou,Distinct ro,£3120.00,,,,,
PMCID: P,Nature Pu,EMBO Jou,Dissecting,£3120.00,,,,,
PMCID: P,Nature Pu,EMBO Jou,PDK1 regu,£3120.00,,,,,
PMCID: P,Nature Pu,EMBO Jou,A cyclic G,£3120.00,,,,,
PMID: 236,Nature Pu,EMBO rep,Prdm14 pr,£3120.00,,,,,
PMCID: P,Nature Pu,EMBO Re,Physiolog,£999999.00,,,,,
23632796,Nature Pu,European,Whole ex,£2400.00,,,,,
NA,Nature Pu,Genetics i,Behaviora,£3000.00,,,,,
PMID: 232,Nature Pu,Internatio,Catch-up,£3000.00,,,,,
PMCID:P,Nature Pu,Journal of,The IL23R,£2520.00,,,,,
PMID: 237,Nature Pu,Journal of,Heterozyg,£2520.00,,,,,
PMID: 239,Nature Pu,Journal of,Keratin 9 i,£2520.00,,,,,
PMC36744,Nature pu,Kidney Int,Albuminu,£2400.00,,,,,
PMCID: P,Nature Pu,Kidney Int,Leukocyte,£2400.00,,,,,
PMID: 233,Nature Pu,Leukemia,Bivalent p,£3480.00,,,,,
PMC38064,Nature Pu,Mucosal I,?? T cells,£3000.00,,,,,
PMC35353,Nature Pu,Nature Co,T-bet and,£1821.60,,,,,
PMCID: P,Nature Pu,Nature Co,Spatial se,£2562.00,,,,,
PMID: 241,Nature Pu,Nature Co,Bod1 regu,£3498.00,,,,,
PMC32934,Nature Pu,Nature Co,Dynamics,£3642.00,,,,,
PMCID: P,Nature Pu,Nature Co,Topoisom,£3642.00,,,,,
PMCID:P,Nature Pu,Nature Co,Restricted,£3642.00,,,,,
PMID: 231,Nature Pu,Nature Co,The Hedg,£3642.00,,,,,
PMC36214,Nature Pu,Nature Co,SynGAP is,£3780.00,,,,,
PMC37787,Nature Pu,Nature Co,Control of,£3780.00,,,,,
PMCID: P,Nature Pu,Nature Co,Angiomot,£3780.00,,,,,
PMCID:,Nature Pu,Nature Sci,Using Fals,£1068.00,,,,,
    PMC3604800,,,,,,,,,
PMCID: P,Nature Pu,Neuropsy,Prefontal,£1500.00,,,,,
3656369,Nature Pu,Neuropsy,Lack of as,£3000.00,,,,,
3717539,Nature Pu,Neuropsy,A translati,£3000.00,,,,,
PMC36821,Nature Pu,Neuropsy,D-amphet,£3000.00,,,,,
PMCID: P,Nature Pu,Neuropsy,Seratonin,£3000.00,,,,,
PMID: 236,Nature Pu,Oncogene,SATB1 coll,£2774.45,,,,,
PMID: 237,Nature Pu,Oncogene,Hox-medi,£3360.00,,,,,
PMID:239,Nature Pu,Oncogene,Signalling,£3360.00,,,,,
23230506,Nature Pu,Sci Rep,Structure,£1068.00,,,,,
PMC35574,Nature Pu,Scientific,A Weber-l,£1068.00,,,,,
PMC36281,Nature Pu,Scientific,The distri,£1068.00,,,,,
PMCID:,Nature Pu,The EMBO,Endocytic,£1560.00,,,,,
    PMC3492727,,,,,,,,,
PMID: 240,Nature Pu,The EMBO,TRIAD1 an,£3120.00,,,,,
PMC3631608,Nature pu,The Journ,T-Cell Rec,£2520.00,,,,,
,,,,,,,,,
,,,,,,,,,
PMC36414,Nature Pu,Translatio,Advancin,£2880.00,,,,,
PMCID:P,Nature Pu,Translatio,Reduced,£2880.00,,,,,
PMCID:,Nature Pu,Mucosal I,Endogeno,£3000.00,,,,,
    PMC3610641,,,,,,,,,
PMCID:,Nature Pu,Mucosal I,Impaired i,£3000.00,,,,,
    PMC3684776,,,,,,,,,
PMCID: 36,NATURE P,NATURE C,THE PORE,£2562.00,,,,,
3512392,NPG,EMBO Jou,Molecular,£3120.00,,,,,
PMC37364,Open Acc,Journal of,Sexual ris,£1451.60,,,,,
PMC35031,Optical So,Optics Ex,Maximum,£1375.33,,,,,
PMC36333,OUP,Alcohol a,Post-treat,£2040.00,,,,,
PMC36397,OUP,American,Using a no,£2040.00,,,,,
3813311,OUP,American,Prenatal e,£2040.00,,,,,
PMC31322,OUP,American,Associatio,£2040.00,,,,,
PMC32863,OUP,Brain,Clinico-pa,£2040.00,,,,,
PMC3673458,OUP,Brain,A functio,£2040.00,,,,,
,,,,,,,,,
PMC3673465,OUP,Brain,Memory r,£2040.00,,,,,
,,,,,,,,,
PMC36920,OUP,Brain,Letter to t,£2040.00,,,,,
in press,OUP,Brain,The role o,£2400.00,,,,,
PMC3754462,OUP,Brain,Nucleotid,£2400.00,,,,,
,,,,,,,,,
NA,OUP,Brain,Atypical basic movement kinematics in autism spectrum conditions,£2400.00,,,,,
NA,OUP,Brain,"Epilepsy,",£2400.00,,,,,
NA,OUP,Brain,Reading t,£2400.00,,,,,
Pub July 2,OUP,Briefings i,Transcript,£2100.00,,,,,
PMC36758,OUP,British Me,Mitochon,£2100.00,,,,,
NA,OUP,Cerebral,The path,£1875.00,,,,,
Epub ahe,OUP,Cerebral,Direct evi,£2250.00,,,,,
PMID:240,OUP,Cerebral,The early,£2250.00,,,,,
NA,OUP,Cerebral,Individual,£2550.00,,,,,
PMC36695,OUP,Clinical In,A review,£1700.00,,,,,
e-pub ,OUP,Clinical In,Chickenp,£2625.60,,,,,
PMC35525,OUP,Clinical In,Cardiac di,£2040.00,,,,,
Epub ahe,OUP,European,SCORE pe,£2040.00,,,,,
PMC35849,OUP,Health Po,Willingne,£1800.00,,,,,
PMC35968,OUP,Human M,Genome-,£2040.00,,,,,
PMC38421,OUP,Human M,Armet/M,£2100.00,,,,,
PMID:238,OUP,Human M,Altered 2-,£2100.00,,,,,
NA,OUP,Human M,Age-assoc,£2100.00,,,,,
NA,OUP,Human M,Folliculin,£2100.00,,,,,
PMC35107,OUP,Human M,Genome,£999999.00,,,,,
PMC33963,OUP,Int J Epide,Status of,£1700.00,,,,,
NA,OUP,Internatio,Estimatin,£2400.00,,,,,
PMC3780998,OUP,Internatio,Time seri,£2040.00,,,,,
NA,OUP,Internatio,Cohort pr,£2400.00,,,,,
PMID: 237,OUP,Journal of,Flucytosin,£2400.00,,,,,
PMID: 234,OUP,Journal of,The Phen,£2250.00,,,,,
In Process,OUP,Journal of,Viral supp,£2625.60,,,,,
PMID:  23,OUP,Journal of,Cryptococ,£2625.60,,,,,
3352832,OUP,Journal of,Associatio,£2040.00,,,,,
23595147,OUP,Nucleic A,Nucleoca,£1704.00,,,,,
PMID: 237,OUP,Nucleic A,Impact of,£2184.00,,,,,
3467080,OUP,Nucleic A,Protein ki,£852.00,,,,,
3553950,OUP,Nucleic A,The Type I,£852.00,,,,,
3553963,OUP,Nucleic A,DNA cleav,£852.00,,,,,
3592466,OUP,Nucleic A,Organizati,£852.00,,,,,
3592470,OUP,Nucleic A,Organizati,£852.00,,,,,
PMC35758,OUP,Nucleic A,Unwindin,£852.00,,,,,
PMC3627570,OUP,Nucleic A,Resolving,£852.00,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PMC36276,OUP,Nucleic A,Human SI,£852.00,,,,,
PMID:240,OUP,Nucleic A,The splici,£852.00,,,,,
NA,OUP,Public He,Using soci,£1800.00,,,,,
3281495,OUP,Rheumat,Dynamic r,£2040.00,,,,,
3651613,OUP,Rheumat,High bone,£2040.00,,,,,
PMC34940,OUP,Schizophr,Alteration,£2047.50,,,,,
NA,OUP,Social Cog,Social brai,£1800.00,,,,,
Epub ahe,OUP,Social Cog,Neural co,£2040.00,,,,,
PMC35250,Oxford Jo,Brain,Abnormal,£2040.00,,,,,
23892734,Oxford Jo,Cardiovas,T brucei c,£2040.00,,,,,
PMCID:,Oxford Jo,Clinical In,Frequenc,£1700.00,,,,,
    PMC3540040,,,,,,,,,
PMC36165,Oxford Jo,Clinicla In,Associatio,£2040.00,,,,,
NA,Oxford Jo,Glycobiol,A novel ro,£440.66,,,,,
PMC31776,Oxford Jo,Human M,Allelic het,£2040.00,,,,,
PMC35968,Oxford Jo,Human M,A genome,£2040.00,,,,,
3749866,Oxford Jo,Human M,Genome-,£2100.00,,,,,
3733698,Oxford Jo,Inyernati,Inequaliti,£2040.00,,,,,
PMCID:,Oxford Jo,Journal of,An analysi,£2040.00,,,,,
    PMC3594497,,,,,,,,,
PMC34038,Oxford Jo,Journal of,The associ,£2040.00,,,,,
23620542,Oxford Jo,Journal of,Examinin,£1800.00,,,,,
22735079,Oxford Jo,Molecular,The impac,£920.00,,,,,
3819976,Oxford Jo,Nicotine a,Associatio,£2625.60,,,,,
PMC36355,Oxford Jo,Social Hist,Refuse an,£2040.00,,,,,
NA,Oxford Jo,Social Hist,A Modern,£2040.00,,,,,
PMC34067,Oxford Jo,Human M,Vitmain D,£1700.00,,,,,
PMC34133,Oxford Un,Bioinform,ChromoH,£850.00,,,,,
PMID2234,Oxford Un,Cerebral,Image-inv,£3177.60,,,,,
PMID2339,Oxford Un,Human M,Dopamin,£2040.00,,,,,
PMID2230,Oxford Un,Journal of,Therapeu,£2040.00,,,,,
PMID: 236,Oxford Un,Age and A,Early diag,£2040.00,,,,,
PMCID: P,Oxford Un,American,Efficient d,£1700.00,,,,,
23162054,Oxford Un,Biinforma,mzMatch-,£1047.00,,,,,
PMC35467,Oxford Un,Bioinform,A Beta-Mi,£1700.00,,,,,
